event,year,era,deaths,homes,source,icons
Black Friday VIC,1939,Pre-2000,71,3700,Wikipedia,37
Black Friday VIC,1939,Pre-2000,71,3700,Wikipedia,37
Black Friday VIC,1939,Pre-2000,71,3700,Wikipedia,37
Black Friday VIC,1939,Pre-2000,71,3700,Wikipedia,37
Black Friday VIC,1939,Pre-2000,71,3700,Wikipedia,37
Black Friday VIC,1939,Pre-2000,71,3700,Wikipedia,37
Black Friday VIC,1939,Pre-2000,71,3700,Wikipedia,37
Black Friday VIC,1939,Pre-2000,71,3700,Wikipedia,37
Black Friday VIC,1939,Pre-2000,71,3700,Wikipedia,37
Black Friday VIC,1939,Pre-2000,71,3700,Wikipedia,37
Black Friday VIC,1939,Pre-2000,71,3700,Wikipedia,37
Black Friday VIC,1939,Pre-2000,71,3700,Wikipedia,37
Black Friday VIC,1939,Pre-2000,71,3700,Wikipedia,37
Black Friday VIC,1939,Pre-2000,71,3700,Wikipedia,37
Black Friday VIC,1939,Pre-2000,71,3700,Wikipedia,37
Black Friday VIC,1939,Pre-2000,71,3700,Wikipedia,37
Black Friday VIC,1939,Pre-2000,71,3700,Wikipedia,37
Black Friday VIC,1939,Pre-2000,71,3700,Wikipedia,37
Black Friday VIC,1939,Pre-2000,71,3700,Wikipedia,37
Black Friday VIC,1939,Pre-2000,71,3700,Wikipedia,37
Black Friday VIC,1939,Pre-2000,71,3700,Wikipedia,37
Black Friday VIC,1939,Pre-2000,71,3700,Wikipedia,37
Black Friday VIC,1939,Pre-2000,71,3700,Wikipedia,37
Black Friday VIC,1939,Pre-2000,71,3700,Wikipedia,37
Black Friday VIC,1939,Pre-2000,71,3700,Wikipedia,37
Black Friday VIC,1939,Pre-2000,71,3700,Wikipedia,37
Black Friday VIC,1939,Pre-2000,71,3700,Wikipedia,37
Black Friday VIC,1939,Pre-2000,71,3700,Wikipedia,37
Black Friday VIC,1939,Pre-2000,71,3700,Wikipedia,37
Black Friday VIC,1939,Pre-2000,71,3700,Wikipedia,37
Hobart Fires TAS,1967,Pre-2000,62,900,Wikipedia,9
Hobart Fires TAS,1967,Pre-2000,62,900,Wikipedia,9
Hobart Fires TAS,1967,Pre-2000,62,900,Wikipedia,9
Hobart Fires TAS,1967,Pre-2000,62,900,Wikipedia,9
Hobart Fires TAS,1967,Pre-2000,62,900,Wikipedia,9
Hobart Fires TAS,1967,Pre-2000,62,900,Wikipedia,9
Hobart Fires TAS,1967,Pre-2000,62,900,Wikipedia,9
Hobart Fires TAS,1967,Pre-2000,62,900,Wikipedia,9
Hobart Fires TAS,1967,Pre-2000,62,900,Wikipedia,9
Red Tuesday VIC,1898,Pre-2000,12,2000,AIDR,20
Red Tuesday VIC,1898,Pre-2000,12,2000,AIDR,20
Red Tuesday VIC,1898,Pre-2000,12,2000,AIDR,20
Red Tuesday VIC,1898,Pre-2000,12,2000,AIDR,20
