event,year,era,deaths,homes,unit_type,unit_index
Black Saturday VIC,2009,Post-2000,180,2100,deaths,24
Black Saturday VIC,2009,Post-2000,180,2100,deaths,25
Black Saturday VIC,2009,Post-2000,180,2100,deaths,26
Black Saturday VIC,2009,Post-2000,180,2100,deaths,27
Black Saturday VIC,2009,Post-2000,180,2100,deaths,28
Black Saturday VIC,2009,Post-2000,180,2100,deaths,29
Black Saturday VIC,2009,Post-2000,180,2100,deaths,30
Black Saturday VIC,2009,Post-2000,180,2100,deaths,31
Black Saturday VIC,2009,Post-2000,180,2100,deaths,32
Black Saturday VIC,2009,Post-2000,180,2100,deaths,33
Black Saturday VIC,2009,Post-2000,180,2100,deaths,34
Black Saturday VIC,2009,Post-2000,180,2100,deaths,35
Black Saturday VIC,2009,Post-2000,180,2100,deaths,36
Black Saturday VIC,2009,Post-2000,180,2100,deaths,37
Black Saturday VIC,2009,Post-2000,180,2100,deaths,38
Black Saturday VIC,2009,Post-2000,180,2100,deaths,39
Black Saturday VIC,2009,Post-2000,180,2100,deaths,40
Black Saturday VIC,2009,Post-2000,180,2100,deaths,41
Black Saturday VIC,2009,Post-2000,180,2100,deaths,42
Black Saturday VIC,2009,Post-2000,180,2100,deaths,43
Black Saturday VIC,2009,Post-2000,180,2100,deaths,44
Black Saturday VIC,2009,Post-2000,180,2100,deaths,45
Black Saturday VIC,2009,Post-2000,180,2100,deaths,46
Black Saturday VIC,2009,Post-2000,180,2100,deaths,47
Black Saturday VIC,2009,Post-2000,180,2100,deaths,48
Black Saturday VIC,2009,Post-2000,180,2100,deaths,49
Black Saturday VIC,2009,Post-2000,180,2100,deaths,50
Black Saturday VIC,2009,Post-2000,180,2100,deaths,51
Black Saturday VIC,2009,Post-2000,180,2100,deaths,52
Black Saturday VIC,2009,Post-2000,180,2100,deaths,53
Black Saturday VIC,2009,Post-2000,180,2100,deaths,54
Black Saturday VIC,2009,Post-2000,180,2100,deaths,55
Black Saturday VIC,2009,Post-2000,180,2100,deaths,56
Black Saturday VIC,2009,Post-2000,180,2100,deaths,57
Black Saturday VIC,2009,Post-2000,180,2100,deaths,58
Black Saturday VIC,2009,Post-2000,180,2100,deaths,59
Black Saturday VIC,2009,Post-2000,180,2100,deaths,60
Black Saturday VIC,2009,Post-2000,180,2100,deaths,61
Black Saturday VIC,2009,Post-2000,180,2100,deaths,62
Black Saturday VIC,2009,Post-2000,180,2100,deaths,63
Black Saturday VIC,2009,Post-2000,180,2100,deaths,64
Black Saturday VIC,2009,Post-2000,180,2100,deaths,65
Black Saturday VIC,2009,Post-2000,180,2100,deaths,66
Black Saturday VIC,2009,Post-2000,180,2100,deaths,67
Black Saturday VIC,2009,Post-2000,180,2100,deaths,68
Black Saturday VIC,2009,Post-2000,180,2100,deaths,69
Black Saturday VIC,2009,Post-2000,180,2100,deaths,70
Black Saturday VIC,2009,Post-2000,180,2100,deaths,71
Black Saturday VIC,2009,Post-2000,180,2100,deaths,72
Black Saturday VIC,2009,Post-2000,180,2100,deaths,73
Black Saturday VIC,2009,Post-2000,180,2100,deaths,74
Black Saturday VIC,2009,Post-2000,180,2100,deaths,75
Black Saturday VIC,2009,Post-2000,180,2100,deaths,76
Black Saturday VIC,2009,Post-2000,180,2100,deaths,77
Black Saturday VIC,2009,Post-2000,180,2100,deaths,78
Black Saturday VIC,2009,Post-2000,180,2100,deaths,79
Black Saturday VIC,2009,Post-2000,180,2100,deaths,80
Black Saturday VIC,2009,Post-2000,180,2100,deaths,81
Black Saturday VIC,2009,Post-2000,180,2100,deaths,82
Black Saturday VIC,2009,Post-2000,180,2100,deaths,83
Black Saturday VIC,2009,Post-2000,180,2100,deaths,84
Black Saturday VIC,2009,Post-2000,180,2100,deaths,85
Black Saturday VIC,2009,Post-2000,180,2100,deaths,86
Black Saturday VIC,2009,Post-2000,180,2100,deaths,87
Black Saturday VIC,2009,Post-2000,180,2100,deaths,88
Black Saturday VIC,2009,Post-2000,180,2100,deaths,89
Black Saturday VIC,2009,Post-2000,180,2100,deaths,90
Black Saturday VIC,2009,Post-2000,180,2100,deaths,91
Black Saturday VIC,2009,Post-2000,180,2100,deaths,92
Black Saturday VIC,2009,Post-2000,180,2100,deaths,93
Black Saturday VIC,2009,Post-2000,180,2100,deaths,94
Black Saturday VIC,2009,Post-2000,180,2100,deaths,95
Black Saturday VIC,2009,Post-2000,180,2100,deaths,96
Black Saturday VIC,2009,Post-2000,180,2100,deaths,97
